district,party,candidates,votes,pct_votes
"Bukit Panjang(8,012)",PP,Goh Tong Liang,"3,097",72.21
"Bukit Panjang(8,012)",SLF,Lim Wee Toh,"1,192",27.79
"Bukit Timah(9,173)",PP,S. F. Ho,722,11.62
"Bukit Timah(9,173)",PAP,Lim Ching Siong,"3,259",52.45
"Bukit Timah(9,173)",SLF,A. N. Mitra,924,14.88
"Bukit Timah(9,173)",DP,Tan Wah Meng,"1,308",21.05
"Cairnhill(13,528)",SLF,David Marshall,"3,305",47.58
"Cairnhill(13,528)",PP,C. C. Tan,"2,530",36.42
"Cairnhill(13,528)",DP,Tan Khiang Khoo,"1,111",16.00
"Changi(11,239)",DP,C. K. Lim,"2,624",45.08
"Changi(11,239)",PP,S. G. Mohamed Ghows,"1,699",29.19
"Changi(11,239)",SLF,Wong Sau Sheung,"1,498",25.73
"Farrer Park(12,242)",INDP,C. T. B. Unnithan,85,1.27
"Farrer Park(12,242)",INDP,Chua Kim Watt,37,0.55
"Farrer Park(12,242)",SLF,A. R. Lazarous,"2,585",38.52
"Farrer Park(12,242)",PAP,Devan Nair,"2,219",33.07
"Farrer Park(12,242)",PP,Eric S. B. Wee,"1,784",26.59
"Geylang(16,604)",INDP,Goh Hood Kiat,"1,386",20.71
"Geylang(16,604)",DP,Lam Joon Chong,"1,226",18.32
"Geylang(16,604)",LP,Lee Yong Min,"1,325",19.80
"Geylang(16,604)",SLF,Mak Pak Shee,"2,756",41.17
"Havelock(12,835)",PP,Chua Bock Kwee,373,5.62
"Havelock(12,835)",SLF,Lim Yew Hock,"5,744",86.48
"Havelock(12,835)",INDP,C. S. Soh,525,7.90
"Kampong Kapor(13,815)",INDP,Dasaratha Raj,"2,155",30.21
"Kampong Kapor(13,815)",PP,Lim Kian Lee,443,6.21
"Kampong Kapor(13,815)",SLF,Seah Peng Chuan,"3,253",45.60
"Kampong Kapor(13,815)",DP,Wong Shian Yein,"1,283",17.98
"Katong(22,196)",SLF,A. J. Braga,"4,680",45.66
"Katong(22,196)",DP,Chan Wah Chip,"2,605",25.41
"Katong(22,196)",PP,John Laycock,"2,965",28.93
"Pasir Panjang(13,812)",PP,K. M. S. Hamid,"2,370",30.19
"Pasir Panjang(13,812)",SLF,P. V. Krishnan,"1,306",16.63
"Pasir Panjang(13,812)",DP,Leong Foon Chew,629,8.01
"Pasir Panjang(13,812)",SA,Wong Foo Nam,"3,546",45.17
"Paya Lebar(12,827)",PP,Lim Koon Teck,"3,330",52.07
"Paya Lebar(12,827)",DP,Tan Eng Joo,"3,065",47.93
"Punggol-Tampines(6,628)",PP,H. A. De Silva,796,20.72
"Punggol-Tampines(6,628)",DP,Anthony Goh,918,23.90
"Punggol-Tampines(6,628)",PAP,Goh Chew Chua,"2,127",55.38
"Queenstown(7,015)",DP,Murray Brash,736,17.73
"Queenstown(7,015)",PP,Elizabeth Choy,622,14.99
"Queenstown(7,015)",SLF,Lee Choon Eng,"2,792",67.28
"Rochore(12,073)",DP,Ong Eng Lian,"1,897",29.95
"Rochore(12,073)",PP,Soh Ghee Soon,"1,507",23.80
"Rochore(12,073)",SLF,Tan Theng Chiang,"2,929",46.25
"Sembawang(10,675)",INDP,Ahmad Ibrahim,"4,281",63.24
"Sembawang(10,675)",PP,Lee Kim Kee,"2,488",36.76
"Seletar(9,402)",SLF,P. G. Khew,909,16.34
"Seletar(9,402)",INDP,Lek Poh Song,"1,632",29.33
"Seletar(9,402)",INDP,M. P. D. Nair,"1,771",31.83
"Seletar(9,402)",DP,Tan Leong Teck,"1,252",22.50
"Serangoon(8,402)",PP,Lim Choon Mong,"2,172",45.83
"Serangoon(8,402)",DP,Lim Chye Seng,"1,412",29.80
"Serangoon(8,402)",SA,Lim Siew Ek,"1,155",24.37
"Southern Islands(3,548)",PP,"Kulasingha, H. J. C.","1,205",49.43
"Southern Islands(3,548)",SA,Mohamed Sidik bin H. A. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hamid,"1,233",50.57
"Stamford(13,207)",SLF,J. M. Jumabhoy,"2,691",43.08
"Stamford(13,207)",PP,Nazir Mallal,"1,153",18.46
"Stamford(13,207)",DP,Ng Sen Choy,"1,121",17.95
"Stamford(13,207)",INDP,Simon,"1,281",20.51
"Tanjong Pagar(13,430)",DP,Lam Thian,760,9.87
"Tanjong Pagar(13,430)",PAP,Lee Kuan Yew,"6,029",78.33
"Tanjong Pagar(13,430)",PP,Lim Seck Tiong,908,11.80
"Tanglin(16,177)",PP,John Ede,"3,214",45.67
"Tanglin(16,177)",SLF,Lim Seow Chuan,"1,322",18.79
"Tanglin(16,177)",DP,Lim Yong Bock,"2,501",35.54
"Telok Ayer(11,547)",INDP,"Jumabhoy, R.","1,945",39.90
"Telok Ayer(11,547)",DP,Sng Siak Hwee,"1,477",30.30
"Telok Ayer(11,547)",SLF,Tan Ewe Chee,"1,453",29.80
"Tiong Bahru(12,664)",PP,Foo Few Ting,"2,100",35.80
"Tiong Bahru(12,664)",DP,William Tan,"2,264",38.60
"Tiong Bahru(12,664)",SA,Teo Seng Bee,"1,502",25.60
"Ulu Bedok(16,903)",SA,Abdul Hamid bin Jumat,"5,721",61.04
"Ulu Bedok(16,903)",PP,A. Hamid Rahmat,652,6.96
"Ulu Bedok(16,903)",DP,Toh Seng Sit,"2,999",32.00
"Whampoa(12,345)",SLF,Chew Swee Kee,"2,961",45.88
"Whampoa(12,345)",DP,Lee Kok Liang,927,14.37
"Whampoa(12,345)",PP,Thio Chan Bee,"2,565",39.75
